# metal: 109 objects
# diffusion: 122 objects
# contact: 160 objects
# gate: 168 objects
# implant: 0 objects
p Vss m3
t m21 d113 d111 e
t m100 d115 d95 e
t m106 d120 d106 e
t m107 d112 d114 e
t m108 d107 d119 e
t m105 d113 d95 e
t m105 d114 d116 e
t m27 d117 d118 e
t m99 d109 d95 e
t m104 d105 d122 e
t m102 d120 d109 e
t m103 d97 d122 e
t m109 d121 d114 e
t m65 d109 d95 e
t m65 d116 d95 e
# metal orphans:  set([96])
# diffusion orphans:  set([])
# contact orphans:  set([])
# gate orphans:  set([33, 49, 50, 58, 122, 128, 141])
